Date,Open,High,Low,Close,Adj Close,Volume
2016-11-10,190.623993,190.688004,189.848007,189.848007,187.465302,134
2016-11-11,186.001999,186.001999,184.529999,184.529999,182.214035,20
2016-11-14,184.061005,184.061005,184.061005,184.061005,181.750931,0
2016-11-15,183.007996,183.007996,183.007996,183.007996,180.711151,0
2016-11-16,182.781998,182.781998,182.404007,182.404007,180.114731,22
2016-11-17,183.794006,184.100006,182.690994,182.690994,180.398117,50
2016-11-18,182.524002,182.524002,182.524002,182.524002,180.233231,0
2016-11-21,183.529999,183.529999,183.488998,183.488998,181.186111,53
2016-11-22,183.761993,183.761993,179.850006,181.080002,178.807343,420
2016-11-23,180.223999,181.417007,180.223999,181.417007,179.140137,1
2016-11-24,180.660995,180.660995,180.660995,180.660995,178.393600,0
2016-11-25,182.014999,182.014999,182.014999,182.014999,179.730606,0
2016-11-28,180.789001,180.789001,180.000000,180.000000,177.740906,50
2016-11-29,179.707001,180.000000,179.707001,180.000000,177.740906,5
2016-11-30,179.268005,179.268005,172.750000,172.750000,170.581894,91
2016-12-01,175.339005,175.339005,172.649994,174.000000,171.816193,56
2016-12-02,172.330002,176.000000,169.938004,176.000000,173.791107,40
2016-12-05,176.332993,177.600006,176.332993,177.600006,175.371033,50
2016-12-06,174.955002,174.955002,174.955002,174.955002,172.759216,0
2016-12-07,176.500000,179.167999,176.500000,179.167999,176.919342,45
2016-12-08,179.110001,179.110001,178.917999,178.917999,176.672485,10
2016-12-09,180.453003,180.453003,177.022995,178.455002,176.215302,126
2016-12-12,178.701996,178.701996,176.500000,176.500000,174.284821,76
2016-12-13,175.955002,175.955002,173.231995,174.100006,171.914948,235
2016-12-14,173.061996,173.061996,171.916000,171.916000,169.758362,26
2016-12-15,171.554001,173.203995,171.554001,173.203995,171.030197,100
2016-12-16,172.901001,172.901001,172.901001,172.901001,170.731003,0
2016-12-19,171.613998,171.813004,170.673996,170.673996,168.531937,106
2016-12-20,171.891998,173.675003,171.891998,173.675003,171.495285,10
2016-12-21,173.307007,174.460999,173.307007,174.460999,172.271423,6
2016-12-22,173.598007,173.598007,173.598007,173.598007,171.419266,0
2016-12-23,172.367996,173.000000,172.367996,173.000000,170.828751,2
2016-12-27,172.218994,174.600006,172.218994,174.600006,172.408676,50
2016-12-28,173.832001,173.832001,173.832001,173.832001,171.650330,0
2016-12-29,172.442993,175.100006,172.442993,175.100006,172.902405,18
2016-12-30,174.714996,174.714996,174.714996,174.714996,172.522232,0
2017-01-02,175.130005,175.130005,175.041000,175.041000,172.844147,30
2017-01-03,175.082001,175.082001,175.082001,175.082001,172.884628,0
2017-01-04,176.350006,176.350006,176.350006,176.350006,174.136719,0
2017-01-05,176.264008,176.264008,176.264008,176.264008,174.051804,0
2017-01-06,176.550995,176.550995,176.550995,176.550995,174.335175,0
2017-01-09,177.240005,177.240005,176.882996,176.882996,174.663025,26
2017-01-10,174.455002,174.455002,174.455002,174.455002,172.265503,0
2017-01-11,180.720993,182.750000,180.720993,182.750000,180.456390,248
2017-01-12,184.595001,186.449997,184.595001,186.449997,184.109955,25
2017-01-13,186.255997,186.255997,181.699997,181.699997,179.419556,83
2017-01-16,182.311005,182.311005,182.311005,182.311005,180.022903,20
2017-01-17,181.143005,181.143005,181.143005,181.143005,178.869553,0
2017-01-18,181.968994,181.968994,181.968994,181.968994,179.685181,0
2017-01-19,181.682999,181.682999,181.682999,181.682999,179.402771,0
2017-01-20,179.602997,179.699997,179.602997,179.699997,177.444656,30
2017-01-23,179.307007,179.307007,179.307007,179.307007,177.056610,0
2017-01-24,181.330002,181.330002,177.199997,178.574997,176.333786,283
2017-01-25,178.604996,179.080002,178.000000,178.000000,175.766006,80
2017-01-26,177.315002,177.966003,177.315002,177.966003,175.732437,20
2017-01-27,175.863998,175.863998,175.863998,175.863998,173.656815,0
2017-01-30,175.315994,175.315994,175.315994,175.315994,173.115692,0
2017-01-31,175.492004,182.876007,175.492004,180.738007,178.469650,118
2017-02-01,181.649994,181.649994,181.649994,181.649994,179.370193,0
2017-02-02,180.641006,180.641006,179.218002,179.218002,176.968719,60
2017-02-03,178.468002,178.681000,178.468002,178.681000,176.438461,119
2017-02-06,178.500000,178.500000,178.500000,178.500000,176.259720,20
2017-02-07,178.074005,179.753006,178.074005,179.753006,177.496994,20
2017-02-08,177.498993,178.880005,177.498993,178.880005,176.634964,22
2017-02-09,177.947006,179.500000,177.947006,179.500000,177.247177,10
2017-02-10,178.979004,179.000000,178.979004,179.000000,176.753448,20
2017-02-13,177.714005,180.085999,177.714005,180.085999,177.825821,15
2017-02-14,179.563004,180.453003,179.563004,180.343994,178.080582,98
2017-02-15,180.126007,180.126007,179.996002,179.996002,177.736954,20
2017-02-16,178.800003,178.800003,178.800003,178.800003,176.555969,0
2017-02-17,178.087997,178.087997,178.087997,178.087997,175.852905,0
2017-02-20,180.000000,180.102997,179.000000,179.738007,177.482208,91
2017-02-21,179.337997,179.337997,179.337997,179.337997,177.087204,0
2017-02-22,179.751999,183.550003,179.751999,183.550003,181.246353,6
2017-02-23,186.250000,188.356995,185.699997,186.000000,183.665588,345
2017-02-24,186.093002,190.050003,186.093002,189.350006,186.973557,69
2017-02-27,191.100006,193.550003,190.481003,192.000000,189.590302,676
2017-02-28,191.237000,191.600006,191.237000,191.600006,189.195313,30
2017-03-01,192.209000,200.162994,192.209000,199.796005,197.288452,408
2017-03-02,199.067993,199.067993,195.699997,195.699997,193.243851,102
2017-03-03,197.119995,197.119995,195.699997,195.699997,193.243851,30
2017-03-06,195.619995,195.619995,195.619995,195.619995,193.164856,0
2017-03-07,197.395004,199.897003,197.158005,198.779999,196.285202,155
2017-03-08,197.662003,198.449997,197.662003,198.449997,195.959335,15
2017-03-09,198.044998,198.828995,198.044998,198.828995,196.333588,10
2017-03-10,198.576996,199.686996,198.576996,199.686996,197.180817,6
2017-03-13,197.606995,200.089996,197.606995,200.089996,197.578766,111
2017-03-14,199.766998,199.766998,197.358994,197.358994,194.882034,30
2017-03-15,197.070999,197.070999,197.070999,197.070999,194.597656,0
2017-03-16,199.985992,199.985992,199.238998,199.393005,196.890518,61
2017-03-17,198.339005,198.339005,198.339005,198.339005,195.849747,0
2017-03-20,198.679001,204.005005,198.679001,202.945007,200.397934,120
2017-03-21,199.287994,199.783997,195.250000,195.250000,192.799500,197
2017-03-22,193.067001,194.000000,190.000000,193.569000,191.139603,387
2017-03-23,193.447006,195.580002,193.447006,195.580002,193.125366,20
2017-03-24,196.313995,196.313995,196.313995,196.313995,193.850143,30
2017-03-27,195.063995,195.750000,195.063995,195.750000,193.293228,22
2017-03-28,195.912003,195.955002,195.912003,195.955002,193.495667,45
2017-03-29,195.990997,195.990997,195.876999,195.876999,193.418640,20
2017-03-30,195.501007,195.501007,195.501007,195.501007,193.047363,0
2017-03-31,197.289001,197.289001,191.442001,191.621994,189.217026,113
2017-04-03,193.912003,193.912003,191.576004,191.576004,189.171616,210
2017-04-04,190.824997,195.425995,190.824997,195.425995,192.973297,161
2017-04-05,194.882004,195.354004,193.651001,195.354004,192.902206,21
2017-04-06,193.395996,194.714996,192.000000,192.694000,190.275589,100
2017-04-07,191.610001,194.141998,191.610001,194.141998,191.705414,94
2017-04-10,193.848007,195.819000,193.848007,195.819000,193.361374,69
2017-04-11,195.112000,195.112000,194.222000,194.222000,191.784409,5
2017-04-12,192.500000,192.500000,192.500000,192.500000,190.084015,0
2017-04-13,194.285995,194.285995,194.285995,194.285995,191.847610,0
2017-04-18,194.289001,194.289001,194.289001,194.289001,191.850571,0
2017-04-19,192.322998,196.789993,192.322998,196.789993,194.320175,53
2017-04-20,197.565002,197.565002,197.561996,197.561996,195.082474,58
2017-04-21,198.113007,198.250000,198.113007,198.250000,195.761856,200
2017-04-24,202.195007,208.000000,202.195007,208.000000,205.389481,224
2017-04-25,206.626999,209.212997,206.626999,209.212997,206.587265,25
2017-04-26,209.779999,210.386993,208.332993,210.386993,207.746521,42
2017-04-27,209.466003,213.785995,209.466003,213.438004,210.759247,50
2017-04-28,213.356995,214.781998,212.863007,214.772995,212.077484,110
2017-05-02,212.996994,220.889999,212.996994,220.889999,218.117706,48
2017-05-03,219.141006,219.141006,212.199997,217.699997,214.967743,131
2017-05-04,218.748993,218.748993,215.000000,215.000000,212.301636,59
2017-05-05,216.899994,217.740005,205.000000,205.000000,202.427139,231
